listing_id,listing_title,latitude,longitude,location_name,number_reviews,average_rating,average_nightly_price,nightly,weekend_night,property_protection_fee,cleaning_fee,tax_rate,min_stay,sleeps,bedrooms,bathrooms,property_type,internet,member_since,response_time,response_rate,calendar_last_updated,type,floor,sq_footage,max_occupancy,building_type,city,state
4358088ha,Room D - Cozy Double Twin Bed Room Close to Everything,37.372103,-122.045593,"Sunnyvale West, Sunnyvale, CA, USA",0,,,70,,,30,,,2,1,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,,2,,San Jose,CA
4357682ha,"Room B - Cozy Queen Bedroom with Expandable Futon, Sleeps up to 3",37.372103,-122.045593,"Sunnyvale West, Sunnyvale, CA, USA",0,,84,80,,,35,,,3,1,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,,3,,San Jose,CA
4358094ha,"Room E - Bright & Cozy Queen & Single Bedroom with Balcony View, Sleeps up to 4",37.372103,-122.045593,"Sunnyvale West, Sunnyvale, CA, USA",0,,75,85,,,40,,,3,1,2,house,Yes,2016,Within an hour,100%,"June 7, 2017",house,,,3,,San Jose,CA
807392,Super bowl 50 House for you,37.400955,-121.958123,"North San Jose, San Jose, CA, USA",0,,,1,,,,,2,8,4,2,house,No,2016,Within a few days,20%,"March 15, 2016",house,,,8,,San Jose,CA
937160,Serene Private Retreat Apt in Silicon Valley,37.35388672,-122.010979,"Ponderosa Park, Sunnyvale, CA, USA",0,,204,,,,,,2,4,2,2,apartment,Yes,2014,Within 12 hours,,"June 7, 2017",apartment,,950,4,,San Jose,CA
1000602,Shadowbrook of Sunnyvale!,37.3801019,-122.0576591,"Sunnyvale, CA, USA",0,,177,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,1000,6,,San Jose,CA
4134851ha,Spacious Home Adjacent to Superbowl 50/Levi's Stadium,37.393984,-121.966729,"North San Jose, San Jose, CA, USA",0,,,3,,,,,3,10,3,3,house,Yes,2016,Within a few days,28%,"January 31, 2016",house,,1600,10,,San Jose,CA
1059497,Beautiful Los Gatos Craftsman 5BR 5BA home,37.240743,-121.957524,"Los Gatos, CA, USA",0,,690,690,,,300,5.0%,2,8,5,5,house,No,2017,,,"April 24, 2017",house,,,,,San Jose,CA
1000598,Sunnyvale Luxury near Cal Train and Central Expressway!,37.3853791,-122.0446882,"Sunnyvale West, Sunnyvale, CA, USA",0,,177,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 7, 2017",apartment,,912,6,,San Jose,CA
1025257,Sunnyvale - SFI - 531 -  2/2  - 223366,37.3533409,-122.010979,"Ponderosa Park, Sunnyvale, CA, USA",0,,240,,,,,,2,4,2,2,house,No,2014,Within 12 hours,,"June 7, 2017",house,,950,4,,San Jose,CA
747273,"Luxury 3 Bedroom, 2.5 Bathroom In Sunnyvale",37.40490964,-122.01260324,"Morse Park, Sunnyvale, CA, USA",3,,,,,,,,180,8,3,2,townhome,Yes,2015,Within a few days,60%,"October 24, 2015",townhome,,,8,,San Jose,CA
1000646,Luxury Shadowbrook of Sunnyvale,37.3794319,-122.0548535,"Sunnyvale West, Sunnyvale, CA, USA",0,,177,,,,,,4,6,2,2,apartment,Yes,2014,Within a few hours,,"June 8, 2017",apartment,,1000,6,,San Jose,CA
1038321,Custom Eloquent Tutor,,,"Sunnyvale West, Sunnyvale, CA, USA",0,,425,425,,,100,,7,6,3,3,house,No,2017,,,"March 21, 2017",house,,,,,San Jose,CA
